#Table: J/MNRAS/434/3236/table2.dat (http://cdsarc.cds.unistra.fr)
-------------------------------------------------------------------------
                     |     |e_p|     |e_p|      |    e|      |    e|
     RAdeg      DEdeg| pmRA|mRA| pmDE|mDE|  Jmag|_Jmag|  Kmag|_Kmag| Mass
---------------------|-----|---|-----|---|------|-----|------|-----|-----
129.164472 +20.376092|-33.7|4.1|-15.5|4.1|13.606|0.023|12.746|0.024|0.371
129.166783 +20.609791|-36.6|1.3|-14.7|1.3|10.492|0.021|10.077|0.019|0.950
129.171132 +18.307291|-39.3|4.1|-19.6|4.1|12.923|0.025|12.033|0.020|0.489
129.171591 +20.277761|-40.2|4.1|-16.0|4.1|14.053|0.025|13.156|0.026|0.304
129.174234 +20.411094|-39.1|4.1|-13.6|4.1|11.183|0.021|10.523|0.019|0.807
129.177894 +18.895244|-38.7|4.1|-10.8|4.1|11.592|0.022|10.844|0.019|0.732
129.187556 +20.146088|-36.3|4.1|-10.8|4.1|14.567|0.034|13.781|0.034|0.234
129.190498 +20.123950|-35.9|1.6|-10.7|1.6|10.340|0.022|09.938|0.019|0.984
129.196283 +18.579677|-35.8|4.1|-13.5|4.1|11.114|0.023|10.586|0.019|0.821
129.200014 +18.882806|-35.7|0.9|-11.4|0.8|08.036|0.020|07.944|0.034|1.747
129.203978 +19.316484|-38.8|4.1|-15.5|4.1|12.841|0.025|11.949|0.019|0.505
129.204023 +19.257351|-36.3|1.6|-12.9|1.7|10.083|0.025|09.687|0.022|1.044
129.205960 +22.268387|-28.0|5.5|-20.2|5.5|14.791|0.036|13.871|0.042|0.209
129.210521 +18.681691|-37.4|4.1|-16.5|4.1|14.238|0.027|13.343|0.036|0.277
129.212754 +19.071817|-36.4|4.1|-12.5|4.1|14.110|0.027|13.239|0.026|0.295
129.215096 +18.838694|-38.8|5.5|-17.7|5.5|14.313|0.027|13.480|0.035|0.266
129.215137 +19.076403|-35.8|4.1|-14.5|4.1|11.577|0.022|10.855|0.019|0.735
129.223936 +18.495868|-37.1|4.1|-09.0|4.1|11.672|0.021|10.947|0.022|0.718
129.225160 +19.617177|-31.8|4.1|-14.9|4.1|14.652|0.030|13.812|0.030|0.224
129.225462 +18.756865|-37.5|4.1|-07.6|4.1|11.003|0.023|10.469|0.020|0.843
129.233242 +19.599183|-35.4|4.1|-10.2|4.1|13.298|0.023|12.428|0.019|0.419
129.236666 +19.091113|-37.0|4.1|-15.5|4.1|11.803|0.023|10.974|0.021|0.695
129.240966 +21.565469|-34.2|4.1|-17.2|4.1|11.953|0.025|11.119|0.020|0.667
129.244356 +18.831164|-33.2|4.1|-16.3|4.1|14.112|0.031|13.255|0.023|0.295
129.249556 +20.406508|-37.2|4.1|-14.4|4.1|12.128|0.025|11.325|0.021|0.636
129.251564 +22.546402|-38.3|4.1|-12.3|4.1|10.983|0.023|10.448|0.022|0.847
129.256072 +20.896656|-34.1|5.6|-13.6|5.6|14.934|0.039|14.177|0.054|0.194
129.261133 +19.328460|-37.5|4.1|-12.9|4.1|13.054|0.023|12.186|0.020|0.464
129.264401 +19.178113|-42.0|4.1|-09.8|4.1|11.440|0.021|10.728|0.020|0.759
129.264660 +19.536008|-39.2|4.1|-14.0|4.1|12.930|0.023|12.097|0.019|0.488
129.265596 +18.667365|-39.8|4.1|-15.0|4.1|11.689|0.021|10.886|0.021|0.715
129.274381 +19.283021|-39.6|4.1|-09.0|4.1|14.212|0.032|13.309|0.040|0.280
129.279760 +20.778879|-36.8|4.1|-12.6|4.1|13.663|0.027|12.759|0.023|0.362
129.297859 +19.803678|-36.4|1.3|-13.3|1.3|10.075|0.021|09.686|0.020|1.046
129.299557 +20.679831|-32.2|4.1|-17.3|4.1|13.226|0.023|12.294|0.019|0.432
129.307839 +17.513545|-42.7|4.2|-09.7|4.2|11.181|0.028|10.512|0.033|0.808
129.324531 +19.488069|-38.0|5.5|-09.1|5.5|15.243|0.048|14.346|0.060|0.169
129.326218 +19.698997|-35.1|2.2|-15.2|2.2|10.175|0.022|09.802|0.019|1.022
129.330176 +18.148272|-43.0|4.1|-08.7|4.1|11.938|0.022|11.140|0.020|0.670
129.332943 +19.053319|-39.3|4.1|-15.9|4.1|12.746|0.021|11.829|0.019|0.523
129.335010 +20.535538|-29.8|5.5|-09.8|5.5|15.025|0.048|14.018|0.038|0.186
129.335345 +18.238464|-32.0|4.1|-05.3|4.1|13.013|0.023|12.203|0.020|0.472
129.343481 +22.033433|-40.0|4.1|-18.2|4.1|13.112|0.022|12.247|0.026|0.453
129.345107 +17.687524|-36.3|4.2|-12.0|4.2|13.918|0.029|13.101|0.034|0.324
129.345198 +17.333247|-40.0|5.7|-06.1|5.7|14.486|0.028|13.538|0.034|0.244
129.350792 +19.416993|-37.0|4.1|-14.5|4.1|12.375|0.023|11.536|0.019|0.593
129.352055 +19.786668|-38.9|4.1|-12.7|4.1|14.453|0.027|13.542|0.038|0.248
